MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero,
Shinsu1,Shinsu1,18,0,32,5,1500,1500,7,0,0,True,True,False,False,Misc\Shinsu1,8,8,5,5,7,25,0,0,0,0,25,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HolyDeva,HolyDeva,38,0,30,2,2000,800,7,0,15,True,True,False,False,Misc\HolyDeva,30,30,38,38,23,35,1,0,0,0,15,15,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clone,Guard,55,0,30,0,2000,800,7,0,0,True,True,False,False,Misc\Clone,8,8,5,5,25,40,25,40,0,0,15,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AssassinClone,Guard,59,0,30,0,100,100,7,0,0,False,True,False,False,Misc\AssassinClone,8,8,5,5,25,40,25,40,0,0,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VampireSpider,VampireSpider,60,0,10,0,2500,1800,7,0,0,False,True,False,False,Misc\VampireSpider,1,3,0,0,4,8,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SpittingToad,SpittingToad,61,0,10,0,2500,1800,7,0,0,False,True,False,False,Misc\SpittingToad,1,3,0,0,4,8,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SnakeTotem,SnakeTotem,62,0,10,0,2500,1800,7,0,0,False,True,False,False,Misc\SnakeTotem,1,3,0,0,4,8,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CharmedSnake,IcePhantom,63,0,10,0,2500,1800,7,0,0,False,True,False,False,Misc\CharmedSnake,1,3,0,0,4,8,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabyPig,BabyPig,64,0,15,2,1200,900,7,0,0,True,True,False,False,Misc\BabyPig,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chick,Chick,64,1,15,2,1200,900,7,0,0,True,True,False,False,Misc\Chick,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kitten,Kitten,64,2,15,0,1200,900,7,0,0,True,True,False,False,Misc\Kitten,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabySkeleton,BabySkeleton,64,3,15,0,1200,900,7,0,0,True,True,False,False,Misc\BabySkeleton,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baekdon,Baekdon,64,4,15,0,1200,900,7,0,0,True,True,False,False,Misc\Baekdon,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wimaen,Wimaen,64,5,15,0,1200,900,7,0,0,True,True,False,False,Misc\Wimaen,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BlackKitten,BlackKitten,64,6,15,0,1200,900,7,0,0,True,True,False,False,Misc\BlackKitten,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabyDragon,BabyDragon,64,7,15,0,1200,900,7,0,0,True,True,False,False,Misc\BabyDragon,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OlympicFlame,OlympicFlame,64,8,15,0,1200,900,7,0,0,True,True,False,False,Misc\OlympicFlame,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabySnowMan,BabySnowMan,64,9,15,0,1200,900,7,0,0,True,True,False,False,Misc\BabySnowMan,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hen,Hen,1,0,2,0,3000,1400,7,0,9,True,True,False,True,Provinces\Hen,0,0,0,0,1,1,0,0,0,0,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deer,Deer,2,0,12,0,3000,1400,7,0,18,True,True,False,True,Provinces\Deer,0,0,0,0,2,4,0,0,0,0,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deer1,Deer,2,0,12,0,3000,1400,7,0,18,True,True,False,True,Provinces\Deer1,0,0,0,0,2,4,0,0,0,0,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pig,Pig,1,0,13,0,3000,1400,7,0,16,True,True,False,True,Provinces\Pig,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bull,Bull,1,0,13,0,3000,1400,7,0,24,True,True,False,True,Provinces\Bull,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sheep,Sheep,2,0,13,0,3000,1400,7,0,27,True,True,False,True,Provinces\Sheep,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wolf,Wolf,9,0,16,0,2500,1200,7,0,48,True,True,False,True,Provinces\Wolf,0,0,0,0,6,8,0,0,0,0,10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Currish,Wolf,9,0,16,0,2500,1200,7,0,150,True,True,False,True,SerpantValley\Currish,0,0,0,0,8,10,0,0,0,0,12,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yob,Yob,0,0,12,0,2500,1500,7,0,20,True,True,False,True,Provinces\Yob,0,0,0,0,0,5,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yob0,Yob,0,0,12,0,2500,1500,7,0,20,True,True,False,True,Provinces\Yob0,0,0,0,0,0,5,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scarecrow,Scarecrow,0,0,10,0,2500,1500,7,0,15,True,True,True,False,Provinces\Scarecrow,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scarecrow0,Scarecrow,0,0,10,0,2500,1500,7,0,15,True,True,True,False,Provinces\Scarecrow0,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scarecrow1,Scarecrow,0,0,10,0,2500,1500,7,0,15,True,True,True,False,Provinces\Scarecrow1,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HookingCat,HookingCat,0,0,13,0,2500,1500,7,0,23,True,True,True,False,Provinces\HookingCat,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HookingCat0,HookingCat,0,0,13,0,2500,1500,7,0,23,True,True,True,False,Provinces\HookingCat0,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RakingCat,RakingCat,0,0,13,0,2500,1500,7,0,27,True,True,True,False,Provinces\RakingCat,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RakingCat0,RakingCat,0,0,13,0,2500,1500,7,0,27,True,True,True,False,Provinces\RakingCat0,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SpittingSpider,SpittingSpider,4,0,16,0,2500,900,7,0,108,True,True,False,True,Provinces\SpittingSpider,2,2,1,1,6,9,0,0,2,4,8,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CannibalPlant,CannibalPlant,5,0,20,0,2500,1500,7,0,36,False,True,False,False,Provinces\CannibalPlant,2,2,0,0,6,7,0,0,0,0,12,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oma,Oma,0,0,15,0,2500,1500,7,0,30,True,True,False,True,Provinces\Oma,1,1,0,0,4,9,0,0,0,0,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oma0,Oma,0,0,15,0,2500,1500,7,0,30,True,True,False,True,Provinces\Oma0,1,1,0,0,4,9,0,0,0,0,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OmaFighter,OmaFighter,0,0,22,0,2000,1500,7,0,130,True,True,False,True,Provinces\OmaFighter0,3,3,1,1,5,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OmaFighter0,OmaFighter,0,0,22,0,2000,1500,7,0,130,True,True,False,True,Provinces\OmaFighter0,3,3,1,1,5,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OmaWarrior,OmaWarrior,0,0,28,10,1500,1500,7,0,720,True,True,False,True,Provinces\OmaWarrior,0,0,0,0,15,32,0,0,0,0,15,13,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OmaWarrior1,OmaWarrior,0,0,28,10,1500,1500,7,0,800,False,True,False,False,Provinces\OmaWarrior1,0,0,0,0,18,36,0,0,0,0,20,17,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OmaWarrior2,OmaWarrior,0,0,28,10,1500,1500,7,0,1000,False,True,False,False,Provinces\OmaWarrior2,0,0,0,0,22,38,0,0,0,0,17,20,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ForestYeti,ForestYeti,0,0,16,0,2500,1500,7,0,36,True,True,False,True,Provinces\ForestYeti,2,2,0,0,7,10,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ForestYeti0,ForestYeti,0,0,16,0,2500,1500,7,0,36,True,True,False,True,Provinces\ForestYeti0,2,2,0,0,7,10,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FrostTiger,FrostTiger,34,0,47,10,1000,800,7,0,3000,True,True,False,True,Provinces\FrostTiger,18,18,25,25,20,55,0,0,0,0,15,16,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ChestnutTree,ChestnutTree,3,0,60,0,1000,1500,7,0,36,False,True,False,False,Provinces\ChestnutTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ChestnutTree1,ChestnutTree,3,0,60,0,1000,1500,7,0,36,False,True,False,False,Provinces\ChestnutTree1,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ChestnutTree2,ChestnutTree,3,0,60,0,1000,1500,7,0,36,False,True,False,False,Provinces\ChestnutTree2,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EbonyTree,EbonyTree,3,0,60,0,2500,1800,7,0,38,False,True,False,False,Provinces\EbonyTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CherryTree,CherryTree,3,0,60,0,2500,1800,7,0,38,False,True,False,False,Provinces\CherryTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LargeMushroom,LargeMushroom,3,0,60,0,1000,1500,7,0,38,False,True,True,False,Provinces\LargeMushroom,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RedSnake,RedSnake,0,0,17,0,2500,1200,7,0,70,True,True,False,True,Provinces\RedSnake,0,0,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RedSnake0,RedSnake,0,0,17,0,2500,1200,7,0,70,True,True,False,True,Provinces\RedSnake0,1,2,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RedViper,RedSnake,0,0,17,0,2500,1200,7,0,90,True,True,False,True,Provinces\RedViper,0,0,2,4,9,14,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TigerSnake,TigerSnake,0,0,17,0,2500,1200,7,0,98,True,True,False,True,Provinces\TigerSnake,0,0,2,2,10,11,0,0,0,0,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TigerSnake0,TigerSnake,0,0,17,0,2500,1200,7,0,98,True,True,False,True,Provinces\TigerSnake0,1,2,2,2,10,11,0,0,0,0,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TigerViper,TigerSnake,0,0,18,0,2500,1200,7,0,110,True,True,False,True,Provinces\TigerViper,0,0,2,5,9,14,0,0,0,0,12,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keratoid,Keratoid,0,0,16,0,2500,1300,7,0,42,True,True,False,True,Provinces\Keratoid,0,0,0,0,7,8,0,0,0,0,10,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keratoid0,Keratoid,0,0,16,0,2500,1300,7,0,42,True,True,False,True,Provinces\Keratoid0,0,0,0,0,7,8,0,0,0,0,10,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ShellNipper,ShellNipper,0,0,16,0,2500,1200,7,0,52,True,True,False,True,Provinces\ShellNipper,0,0,0,0,4,10,0,0,0,0,7,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ShellNipper0,ShellNipper,0,0,16,0,2500,1200,7,0,52,True,True,False,True,Provinces\ShellNipper0,0,0,0,0,4,10,0,0,0,0,9,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SkyStinger,SkyStinger,0,0,16,0,2500,1200,7,0,55,True,True,False,True,Provinces\SkyStinger,0,0,0,0,7,10,0,0,0,0,15,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
